Team,Points,GoalsFor,GoalsAgainst,GoalDifference,Position,Season
Real Madrid,87,70,25,45,1,2019-20
Barcelona,82,86,38,48,2,2019-20
Atletico Madrid,70,51,27,24,3,2019-20
Sevilla,70,54,34,20,4,2019-20
Villarreal,60,63,49,14,5,2019-20
Real Sociedad,56,56,48,8,6,2019-20
Granada,56,52,45,7,7,2019-20
Getafe,54,43,37,6,8,2019-20
Valencia,53,46,53,-7,9,2019-20
Osasuna,52,46,54,-8,10,2019-20
Athletic Club,51,41,38,3,11,2019-20
Levante,49,47,53,-6,12,2019-20
Valladolid,42,32,43,-11,13,2019-20
Eibar,42,39,56,-17,14,2019-20
Real Betis,41,48,60,-12,15,2019-20
Alavés,39,34,59,-25,16,2019-20
Celta Vigo,37,37,49,-12,17,2019-20
Leganés,36,30,51,-21,18,2019-20
Mallorca,33,40,65,-25,19,2019-20
Espanol,25,27,58,-31,20,2019-20
Atletico Madrid,86,67,25,42,1,2020-21
Real Madrid,84,67,28,39,2,2020-21
Barcelona,79,85,38,47,3,2020-21
Sevilla,77,53,33,20,4,2020-21
Real Sociedad,62,59,38,21,5,2020-21
Real Betis,61,50,50,0,6,2020-21
Villarreal,58,60,44,16,7,2020-21
Celta Vigo,53,55,57,-2,8,2020-21
Athletic Club,46,46,42,4,9,2020-21
Granada,46,47,65,-18,10,2020-21
Osasuna,44,37,48,-11,11,2020-21
Cádiz,44,36,58,-22,12,2020-21
Valencia,43,50,53,-3,13,2020-21
Levante,41,46,57,-11,14,2020-21
Getafe,38,28,43,-15,15,2020-21
Alavés,38,36,57,-21,16,2020-21
Elche,36,34,55,-21,17,2020-21
Huesca,34,34,53,-19,18,2020-21
Valladolid,31,34,57,-23,19,2020-21
Eibar,30,29,52,-23,20,2020-21
Real Madrid,86,80,31,49,1,2021-22
Barcelona,73,68,38,30,2,2021-22
Atletico Madrid,71,65,43,22,3,2021-22
Sevilla,70,53,30,23,4,2021-22
Real Betis,65,62,40,22,5,2021-22
Real Sociedad,62,40,37,3,6,2021-22
Villarreal,59,63,37,26,7,2021-22
Athletic Club,55,43,36,7,8,2021-22
Valencia,48,48,53,-5,9,2021-22
Osasuna,47,37,51,-14,10,2021-22
Celta Vigo,46,43,43,0,11,2021-22
Rayo Vallecano,42,39,50,-11,12,2021-22
Elche,42,40,52,-12,13,2021-22
Espanol,42,40,53,-13,14,2021-22
Getafe,39,33,41,-8,15,2021-22
Cádiz,39,35,51,-16,16,2021-22
Mallorca,39,36,63,-27,17,2021-22
Granada,38,44,61,-17,18,2021-22
Levante,35,51,76,-25,19,2021-22
Alavés,31,31,65,-34,20,2021-22
Barcelona,88,70,20,50,1,2022-23
Real Madrid,78,75,36,39,2,2022-23
Atletico Madrid,77,70,33,37,3,2022-23
Real Sociedad,71,51,35,16,4,2022-23
Villarreal,64,59,40,19,5,2022-23
Real Betis,60,46,41,5,6,2022-23
Osasuna,53,37,42,-5,7,2022-23
Athletic Club,51,47,43,4,8,2022-23
Mallorca,50,37,43,-6,9,2022-23
Girona,49,58,55,3,10,2022-23
Sevilla,49,47,54,-7,11,2022-23
Rayo Vallecano,49,45,53,-8,12,2022-23
Celta Vigo,43,43,53,-10,13,2022-23
Valencia,42,42,45,-3,14,2022-23
Getafe,42,34,45,-11,15,2022-23
Cádiz,42,30,53,-23,16,2022-23
Almeria,41,49,65,-16,17,2022-23
Valladolid,40,33,63,-30,18,2022-23
Espanol,37,52,69,-17,19,2022-23
Elche,25,30,67,-37,20,2022-23
Real Madrid,95,87,26,61,1,2023-24
Barcelona,85,79,44,35,2,2023-24
Girona,81,85,46,39,3,2023-24
Atletico Madrid,76,70,43,27,4,2023-24
Athletic Club,68,61,37,24,5,2023-24
Real Sociedad,60,51,39,12,6,2023-24
Real Betis,57,48,45,3,7,2023-24
Villarreal,53,65,65,0,8,2023-24
Valencia,49,40,45,-5,9,2023-24
Alavés,46,36,46,-10,10,2023-24
Osasuna,45,45,56,-11,11,2023-24
Getafe,43,42,54,-12,12,2023-24
Sevilla,41,48,54,-6,13,2023-24
Celta Vigo,41,46,57,-11,14,2023-24
Mallorca,40,33,44,-11,15,2023-24
Las Palmas,40,33,47,-14,16,2023-24
Rayo Vallecano,38,29,48,-19,17,2023-24
Cádiz,33,26,55,-29,18,2023-24
Almeria,21,43,75,-32,19,2023-24
Granada,21,38,79,-41,20,2023-24
Barcelona,88,102,39,63,1,2024-25
Real Madrid,84,78,38,40,2,2024-25
Atletico Madrid,76,68,30,38,3,2024-25
Athletic Club,70,54,29,25,4,2024-25
Villarreal,70,71,51,20,5,2024-25
Real Betis,60,57,50,7,6,2024-25
Celta Vigo,55,59,57,2,7,2024-25
Osasuna,52,48,52,-4,8,2024-25
Rayo Vallecano,52,41,45,-4,9,2024-25
Mallorca,48,35,44,-9,10,2024-25
Valencia,46,44,54,-10,11,2024-25
Real Sociedad,46,35,46,-11,12,2024-25
Getafe,42,34,39,-5,13,2024-25
Alavés,42,38,48,-10,14,2024-25
Espanol,42,40,51,-11,15,2024-25
Sevilla,41,42,55,-13,16,2024-25
Girona,41,44,60,-16,17,2024-25
Leganés,40,39,56,-17,18,2024-25
Las Palmas,32,40,61,-21,19,2024-25
Valladolid,16,26,90,-64,20,2024-25
Real Madrid,27,22,10,12,1,2025-26
Barcelona,22,25,12,13,2,2025-26
Villarreal,20,18,10,8,3,2025-26
Atletico Madrid,19,18,10,8,4,2025-26
Espanol,18,14,11,3,5,2025-26
Real Betis,16,15,12,3,6,2025-26
Rayo Vallecano,14,12,10,2,7,2025-26
Elche,14,11,10,1,8,2025-26
Athletic Club,14,9,10,-1,9,2025-26
Getafe,14,10,12,-2,10,2025-26
Sevilla,13,17,16,1,11,2025-26
Alavés,12,9,9,0,12,2025-26
Celta Vigo,10,11,13,-2,13,2025-26
Osasuna,10,9,12,-3,14,2025-26
Levante,9,14,18,-4,15,2025-26
Mallorca,9,11,15,-4,16,2025-26
Real Sociedad,9,10,14,-4,17,2025-26
Valencia,9,10,16,-6,18,2025-26
Oviedo,7,7,19,-12,19,2025-26
Girona,7,9,22,-13,20,2025-26
