Team,Season,Matches,Wins,Draws,Losses,GoalsFor,GoalsAgainst,Points,WinRate,PointsPerGame,GoalDifference,AvgAttendance,TotalAttendance,MatchesWithAttendance,AvgxG,AvgxGA,AvgPossession,AvgGoalsFor,AvgGoalsAgainst,TotalGoals,TotalAssists,TotalxG,TotalxAG,PlayerCount,AvgAge
Athletic Club,2019-20,38,13,12,13,41,38,51,0.34210526315789475,1.3421052631578947,3,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2020-21,38,11,13,14,46,42,46,0.2894736842105263,1.2105263157894737,4,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2021-22,38,14,13,11,43,36,55,0.3684210526315789,1.4473684210526316,7,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2022-23,38,14,9,15,47,43,51,0.3684210526315789,1.3421052631578947,4,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2023-24,38,19,11,8,61,37,68,0.5,1.7894736842105263,24,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2024-25,38,19,13,6,54,29,70,0.5,1.8421052631578947,25,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Athletic Club,2025-26,10,4,2,4,9,10,14,0.4,1.4,-1,35119.560563380284,12467444.0,355.0,1.2955654101995564,1.0496674057649669,49.54323725055433,1.288248337028825,1.0022172949002217,24.0,20.0,22.3,15.9,256.0,26.6640625
Celta Vigo,2019-20,38,7,16,15,37,49,37,0.18421052631578946,0.9736842105263158,-12,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2020-21,38,14,11,13,55,57,53,0.3684210526315789,1.394736842105263,-2,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2021-22,38,12,10,16,43,43,46,0.3157894736842105,1.2105263157894737,0,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2022-23,38,11,10,17,43,53,43,0.2894736842105263,1.131578947368421,-10,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2023-24,38,10,11,17,46,57,41,0.2631578947368421,1.0789473684210527,-11,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2024-25,38,16,7,15,59,57,55,0.42105263157894735,1.4473684210526316,2,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Celta Vigo,2025-26,10,1,7,2,11,13,10,0.1,1.0,-2,22191.061971830986,7877827.0,355.0,1.22039911308204,1.2518847006651885,51.645232815964526,1.221729490022173,1.3835920177383592,22.0,14.0,22.0,16.8,239.0,26.225941422594143
Valencia,2019-20,38,14,11,13,46,53,53,0.3684210526315789,1.394736842105263,-7,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2020-21,38,10,13,15,50,53,43,0.2631578947368421,1.131578947368421,-3,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2021-22,38,11,15,12,48,53,48,0.2894736842105263,1.263157894736842,-5,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2022-23,38,11,9,18,42,45,42,0.2894736842105263,1.105263157894737,-3,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2023-24,38,13,10,15,40,45,49,0.34210526315789475,1.2894736842105263,-5,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2024-25,38,11,13,14,44,54,46,0.2894736842105263,1.2105263157894737,-10,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Valencia,2025-26,10,2,3,5,10,16,9,0.2,0.9,-6,32936.70903954802,11659595.0,354.0,1.1419068736141906,1.3197339246119735,47.23946784922395,1.1818181818181819,1.3481152993348116,13.0,7.0,10.3,7.0,205.0,24.13170731707317
Mallorca,2019-20,38,9,6,23,40,65,33,0.23684210526315788,0.868421052631579,-25,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Mallorca,2021-22,38,10,9,19,36,63,39,0.2631578947368421,1.0263157894736843,-27,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Mallorca,2022-23,38,14,8,16,37,43,50,0.3684210526315789,1.3157894736842106,-6,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Mallorca,2023-24,38,8,16,14,33,44,40,0.21052631578947367,1.0526315789473684,-11,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Mallorca,2024-25,38,13,9,16,35,44,48,0.34210526315789475,1.263157894736842,-9,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Mallorca,2025-26,10,2,3,5,11,15,9,0.2,0.9,-4,21347.609065155808,7535706.0,353.0,1.0304,1.3128,44.474666666666664,0.9546666666666667,1.3786666666666667,15.0,12.0,16.1,11.4,255.0,27.976470588235294
Leganés,2019-20,38,8,12,18,30,51,36,0.21052631578947367,0.9473684210526315,-21,19459.228813559323,2296189.0,118.0,0.9807142857142858,1.3342857142857143,43.25714285714286,0.8714285714285714,1.4,14.0,13.0,10.3,6.6,235.0,27.28936170212766
Leganés,2024-25,38,9,13,16,39,56,40,0.23684210526315788,1.0526315789473684,-17,19459.228813559323,2296189.0,118.0,0.9807142857142858,1.3342857142857143,43.25714285714286,0.8714285714285714,1.4,14.0,13.0,10.3,6.6,235.0,27.28936170212766
Villarreal,2019-20,38,18,6,14,63,49,60,0.47368421052631576,1.5789473684210527,14,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2020-21,38,15,13,10,60,44,58,0.39473684210526316,1.5263157894736843,16,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2021-22,38,16,11,11,63,37,59,0.42105263157894735,1.5526315789473684,26,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2022-23,38,19,7,12,59,40,64,0.5,1.6842105263157894,19,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2023-24,38,14,11,13,65,65,53,0.3684210526315789,1.394736842105263,0,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2024-25,38,20,10,8,71,51,70,0.5263157894736842,1.8421052631578947,20,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Villarreal,2025-26,10,6,2,2,18,10,20,0.6,2.0,8,22181.31920903955,7852187.0,354.0,1.6088888888888888,1.2542222222222221,53.306666666666665,1.6711111111111112,1.2466666666666666,25.0,19.0,24.400000000000002,17.1,219.0,26.91324200913242
Alavés,2019-20,38,10,9,19,34,59,39,0.2631578947368421,1.0263157894736843,-25,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Alavés,2020-21,38,9,11,18,36,57,38,0.23684210526315788,1.0,-21,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Alavés,2021-22,38,8,7,23,31,65,31,0.21052631578947367,0.8157894736842105,-34,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Alavés,2023-24,38,12,10,16,36,46,46,0.3157894736842105,1.2105263157894737,-10,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Alavés,2024-25,38,10,12,16,38,48,42,0.2631578947368421,1.105263157894737,-10,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Alavés,2025-26,10,3,3,4,9,9,12,0.3,1.2,0,20686.783393501806,5730239.0,277.0,1.088,1.34,42.80266666666667,0.9253333333333333,1.464,16.0,8.0,15.0,8.8,236.0,26.423728813559322
Espanol,2019-20,38,5,10,23,27,58,25,0.13157894736842105,0.6578947368421053,-31,,,,,,,,,,,,,,
Espanol,2021-22,38,10,12,16,40,53,42,0.2631578947368421,1.105263157894737,-13,,,,,,,,,,,,,,
Espanol,2022-23,38,8,13,17,52,69,37,0.21052631578947367,0.9736842105263158,-17,,,,,,,,,,,,,,
Espanol,2024-25,38,11,9,18,40,51,42,0.2894736842105263,1.105263157894737,-11,,,,,,,,,,,,,,
Espanol,2025-26,10,5,3,2,14,11,18,0.5,1.8,3,,,,,,,,,,,,,,
Real Betis,2019-20,38,10,11,17,48,60,41,0.2631578947368421,1.0789473684210527,-12,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2020-21,38,17,10,11,50,50,61,0.4473684210526316,1.605263157894737,0,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2021-22,38,19,8,11,62,40,65,0.5,1.7105263157894737,22,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2022-23,38,17,9,12,46,41,60,0.4473684210526316,1.5789473684210527,5,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2023-24,38,14,15,9,48,45,57,0.3684210526315789,1.5,3,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2024-25,38,16,12,10,57,50,60,0.42105263157894735,1.5789473684210527,7,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Real Betis,2025-26,10,4,4,2,15,12,16,0.4,1.6,3,38255.43661971831,13580680.0,355.0,1.329268292682927,1.2862527716186254,52.77827050997783,1.352549889135255,1.246119733924612,13.0,10.0,21.6,15.5,236.0,26.88135593220339
Atletico Madrid,2019-20,38,18,16,4,51,27,70,0.47368421052631576,1.8421052631578947,24,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2020-21,38,26,8,4,67,25,86,0.6842105263157895,2.263157894736842,42,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2021-22,38,21,8,9,65,43,71,0.5526315789473685,1.868421052631579,22,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2022-23,38,23,8,7,70,33,77,0.6052631578947368,2.026315789473684,37,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2023-24,38,24,4,10,70,43,76,0.631578947368421,2.0,27,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2024-25,38,22,10,6,68,30,76,0.5789473684210527,2.0,38,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Atletico Madrid,2025-26,10,5,4,1,18,10,19,0.5,1.9,8,42692.260623229464,15070368.0,353.0,1.5452328159645232,0.9529933481152993,50.92461197339246,1.7095343680709534,0.8802660753880266,,,,,,
Granada,2019-20,38,16,8,14,52,45,56,0.42105263157894735,1.4736842105263157,7,21035.88349514563,4333392.0,206.0,1.1032894736842105,1.4769736842105263,43.875,1.1907894736842106,1.644736842105263,,,,,,
Granada,2020-21,38,13,7,18,47,65,46,0.34210526315789475,1.2105263157894737,-18,21035.88349514563,4333392.0,206.0,1.1032894736842105,1.4769736842105263,43.875,1.1907894736842106,1.644736842105263,,,,,,
Granada,2021-22,38,8,14,16,44,61,38,0.21052631578947367,1.0,-17,21035.88349514563,4333392.0,206.0,1.1032894736842105,1.4769736842105263,43.875,1.1907894736842106,1.644736842105263,,,,,,
Granada,2023-24,38,4,9,25,38,79,21,0.10526315789473684,0.5526315789473685,-41,21035.88349514563,4333392.0,206.0,1.1032894736842105,1.4769736842105263,43.875,1.1907894736842106,1.644736842105263,,,,,,
Levante,2019-20,38,14,7,17,47,53,49,0.3684210526315789,1.2894736842105263,-6,20398.861313868612,2794644.0,137.0,1.2659574468085106,1.5021276595744681,48.91063829787234,1.2723404255319148,1.6425531914893616,,,,,,
Levante,2020-21,38,9,14,15,46,57,41,0.23684210526315788,1.0789473684210527,-11,20398.861313868612,2794644.0,137.0,1.2659574468085106,1.5021276595744681,48.91063829787234,1.2723404255319148,1.6425531914893616,,,,,,
Levante,2021-22,38,8,11,19,51,76,35,0.21052631578947367,0.9210526315789473,-25,20398.861313868612,2794644.0,137.0,1.2659574468085106,1.5021276595744681,48.91063829787234,1.2723404255319148,1.6425531914893616,,,,,,
Levante,2025-26,10,2,3,5,14,18,9,0.2,0.9,-4,20398.861313868612,2794644.0,137.0,1.2659574468085106,1.5021276595744681,48.91063829787234,1.2723404255319148,1.6425531914893616,,,,,,
Osasuna,2019-20,38,13,13,12,46,54,52,0.34210526315789475,1.368421052631579,-8,22985.73937677054,8113966.0,353.0,1.086031042128603,1.2776053215077607,46.507760532150776,1.0842572062084257,1.3259423503325942,18.0,10.0,15.2,9.8,238.0,27.19327731092437
Osasuna,2020-21,38,11,11,16,37,48,44,0.2894736842105263,1.1578947368421053,-11,22985.73937677054,8113966.0,353.0,1.086031042128603,1.2776053215077607,46.507760532150776,1.0842572062084257,1.3259423503325942,18.0,10.0,15.2,9.8,238.0,27.19327731092437
Osasuna,2021-22,38,12,11,15,37,51,47,0.3157894736842105,1.236842105263158,-14,22985.73937677054,8113966.0,353.0,1.086031042128603,1.2776053215077607,46.507760532150776,1.0842572062084257,1.3259423503325942,18.0,10.0,15.2,9.8,238.0,27.19327731092437
